# zprint
                            elem         cur         max        cur         max         cur  alloc  alloc
zone name                   size        size        size      #elts       #elts       inuse   size  count
-------------------------------------------------------------------------------------------------------------
kalloc.type0.8192           8192         16K         16K          2           2           1    16K      2  C
kalloc.type1.8192           8192         16K         16K          2           2           2    16K      2  C
kalloc.type2.8192           8192         32K         32K          4           4           3    16K      2  C
kalloc.type0.16384         16384        176K        208K         11          13          11    16K      1  C
kalloc.type1.16384         16384         48K         64K          3           4           3    16K      1  C
kalloc.type2.16384         16384        624K        624K         39          39          39    16K      1  C
kalloc.type0.32768         32768         32K         32K          1           1           1    32K      1  C
kalloc.type1.32768         32768         64K         64K          2           2           2    32K      1  C
kalloc.type2.32768         32768         96K         96K          3           3           3    32K      1  C
delayed-work-ctx             520         32K         32K         63          63           0    32K     63 X
wqslab.wql                 16384         16K         16K          1           1           1    16K      1  C
wqslab.prepost             16384         32K         32K          2           2           2    16K      1  C
thread_groups                144         48K         48K        341         341         284    16K    113  C
Per-coalition.ledgers         72         32K         32K        455         455         310    16K    227  C
Coalition.task.ledgers      2008        624K        624K        318         318         310    16K      8  C
Per-thread.ledger             72        144K        144K       2048        2048        1215    16K    227  C
Bank.ledger                  120         48K         48K        409         409         133    16K    136  C
iokit.OSArray                 40        912K        912K      23347       23347       22913    16K    409  C
iokit.OSData                  40        240K        240K       6144        6144        5692    16K    409  C
iokit.OSDictionary            40        528K        528K      13516       13516       13035    16K    409  C
iokit.OSNumber                24        688K        688K      29354       29354       28228    16K    682  C
iokit.OSSet                   32         64K         64K       2048        2048        1757    16K    512  C
iokit.OSString                24        496K        496K      21162       21162       20455    16K    682  C
iokit.OSSymbol                24        400K        400K      17066       17066       16991    16K    682  C
iokit.IOCommandGate           80         96K         96K       1228        1228        1156    16K    204  C
iokit.IOBufferMemoryDesc$    232        272K        288K       1200        1271        1045    16K     70  C
iokit.IODMACommand           120        272K        272K       2321        2321        2185    16K    136  C
iokit.IOGeneralMemoryDes$    176        112K        112K        651         651         528    16K     93  C
iokit.IOMemoryMap             88        144K        160K       1675        1861        1429    16K    186  C
